SSN,Dnum
"S0005","3"
"S0008","3"
"S0009","11"
"S0013","1"
"S0028","7"
"S0039","6"
"S0054","2"
"S0061","3"
"S0063","8"
"S0078","2"
"S0089","3"
"S0096","1"
"S0103","1"
"S0158","6"
"S0172","7"
"S0175","3"
"S0182","12"
"S0185","4"
"S0186","2"
"S0196","5"
"S0203","2"
"S0210","5"
"S0211","2"
"S0214","2"
"S0241","5"
"S0264","7"
"S0266","3"
"S0278","1"
"S0280","7"
"S0289","1"
"S0314","2"
"S0331","1"
"S0346","6"
"S0348","10"
"S0369","12"
"S0374","2"
"S0393","2"
"S0394","11"
"S0397","8"
"S0399","2"
"S0422","6"
"S0423","1"
"S0431","2"
"S0434","1"
"S0439","3"
"S0489","3"
"S0498","11"
"S0508","1"
"S0518","1"
"S0520","3"
"S0528","11"
"S0532","3"
"S0540","1"
"S0545","11"
"S0554","2"
"S0561","2"
"S0565","11"
"S0579","12"
"S0591","5"
"S0598","6"
"S0648","2"
"S0657","3"
"S0664","1"
"S0672","11"
"S0673","1"
"S0710","1"
"S0751","11"
"S0758","11"
"S0777","11"
"S0779","12"
"S0780","2"
"S0781","11"
"S0794","2"
"S0795","1"
"S0812","3"
"S0820","1"
"S0841","8"
"S0842","1"
"S0861","4"
"S0866","2"
"S0868","7"
"S0873","4"
"S0874","6"
"S0884","1"
"S0886","1"
"S0887","11"
"S0894","12"
"S0897","2"
"S0899","2"
"S0908","5"
"S0913","1"
"S0914","4"
"S0926","12"
"S0927","4"
"S0970","10"
"S0982","3"
"S0984","2"
"S0996","1"
