SSN,Dnum
"S0001","2"
"S0002","3"
"S0003","7"
"S0006","1"
"S0012","1"
"S0015","1"
"S0017","3"
"S0018","11"
"S0021","5"
"S0022","11"
"S0024","9"
"S0031","2"
"S0032","7"
"S0035","1"
"S0036","4"
"S0037","4"
"S0045","2"
"S0046","12"
"S0049","8"
"S0057","12"
"S0059","8"
"S0066","1"
"S0067","2"
"S0069","12"
"S0076","2"
"S0081","6"
"S0082","7"
"S0083","2"
"S0086","2"
"S0088","7"
"S0091","6"
"S0094","2"
"S0095","12"
"S0100","11"
"S0104","11"
"S0105","4"
"S0107","11"
"S0110","2"
"S0115","3"
"S0125","7"
"S0126","1"
"S0128","11"
"S0129","1"
"S0131","8"
"S0132","2"
"S0135","3"
"S0139","8"
"S0140","4"
"S0145","2"
"S0148","12"
"S0151","7"
"S0152","3"
"S0153","7"
"S0155","2"
"S0162","7"
"S0164","3"
"S0166","12"
"S0171","7"
"S0177","3"
"S0180","11"
"S0190","1"
"S0193","3"
"S0195","11"
"S0198","2"
"S0200","1"
"S0202","4"
"S0215","12"
"S0218","3"
"S0219","5"
"S0223","2"
"S0225","6"
"S0231","5"
"S0236","11"
"S0237","7"
"S0243","3"
"S0246","4"
"S0251","2"
"S0252","5"
"S0256","12"
"S0260","1"
"S0261","1"
"S0262","5"
"S0263","6"
"S0267","5"
"S0271","7"
"S0272","1"
"S0274","1"
"S0276","2"
"S0279","7"
"S0285","7"
"S0287","7"
"S0288","11"
"S0291","10"
"S0293","12"
"S0295","12"
"S0296","1"
"S0297","2"
"S0298","1"
"S0301","2"
"S0302","1"
"S0303","2"
"S0304","6"
"S0311","2"
"S0324","11"
"S0328","1"
"S0329","2"
"S0336","2"
"S0341","10"
"S0342","4"
"S0343","12"
"S0351","2"
"S0357","11"
"S0362","2"
"S0363","10"
"S0365","1"
"S0366","7"
"S0370","7"
"S0372","12"
"S0373","1"
"S0379","2"
"S0380","11"
"S0384","1"
"S0387","12"
"S0398","5"
"S0401","12"
"S0402","7"
"S0411","3"
"S0418","2"
"S0419","2"
"S0420","1"
"S0424","8"
"S0426","2"
"S0427","2"
"S0432","12"
"S0437","11"
"S0438","6"
"S0440","3"
"S0441","1"
"S0445","4"
"S0451","12"
"S0452","3"
"S0456","8"
"S0458","6"
"S0459","1"
"S0461","4"
"S0464","4"
"S0466","11"
"S0468","5"
"S0470","3"
"S0472","12"
"S0478","7"
"S0483","5"
"S0484","1"
"S0485","2"
"S0488","3"
"S0492","7"
"S0493","11"
"S0494","2"
"S0500","7"
"S0501","12"
"S0513","11"
"S0514","2"
"S0516","11"
"S0519","6"
"S0521","2"
"S0523","2"
"S0529","3"
"S0531","12"
"S0541","2"
"S0542","1"
"S0546","3"
"S0547","3"
"S0550","11"
"S0551","1"
"S0555","2"
"S0559","3"
"S0560","2"
"S0563","2"
"S0571","8"
"S0573","2"
"S0580","2"
"S0583","2"
"S0588","2"
"S0593","12"
"S0595","4"
"S0596","11"
"S0601","2"
"S0609","2"
"S0611","1"
"S0612","4"
"S0638","5"
"S0651","11"
"S0653","2"
"S0658","3"
"S0661","2"
"S0667","7"
"S0670","2"
"S0671","2"
"S0678","8"
"S0682","10"
"S0683","6"
"S0694","3"
"S0695","5"
"S0698","3"
"S0702","3"
"S0706","2"
"S0708","6"
"S0712","3"
"S0715","6"
"S0718","2"
"S0720","6"
"S0721","5"
"S0722","2"
"S0728","2"
"S0734","11"
"S0735","11"
"S0736","11"
"S0737","11"
"S0742","10"
"S0752","2"
"S0754","3"
"S0761","2"
"S0763","2"
"S0765","11"
"S0788","1"
"S0793","2"
"S0796","3"
"S0800","7"
"S0801","3"
"S0802","7"
"S0804","10"
"S0806","1"
"S0807","11"
"S0813","4"
"S0814","1"
"S0815","11"
"S0817","1"
"S0821","8"
"S0822","12"
"S0823","1"
"S0827","2"
"S0829","12"
"S0837","2"
"S0838","1"
"S0844","1"
"S0846","11"
"S0852","4"
"S0856","8"
"S0858","2"
"S0862","1"
"S0863","1"
"S0869","1"
"S0870","2"
"S0872","5"
"S0875","2"
"S0877","3"
"S0878","3"
"S0879","11"
"S0890","8"
"S0893","1"
"S0901","1"
"S0916","11"
"S0917","6"
"S0923","9"
"S0925","3"
"S0929","12"
"S0930","12"
"S0931","5"
"S0934","3"
"S0936","5"
"S0937","3"
"S0941","4"
"S0942","2"
"S0944","2"
"S0947","3"
"S0951","2"
"S0952","11"
"S0953","12"
"S0957","2"
"S0962","1"
"S0966","10"
"S0971","2"
"S0972","7"
"S0976","5"
"S0977","6"
"S0979","3"
"S0983","2"
"S0985","2"
"S0986","2"
"S0990","12"
"S0991","8"
"S0994","4"
"S0997","4"
"S0998","5"
"S0999","12"
"S1000","2"
