gps tốt
rẻ , kiểu dáng đẹp, chức năng khá phong phú
- Ram 290 chạy game bình bình cũng mượt Màn hình cảm ứng
màn hình rộng, bộ nhớ cao, phong cách, thời trang
nhin la muon mua roi...dep va sang qua\nthich hop voi moi do tuoi
Có lẽ phần âm thanh và thiết kế vỏ ngoài
- giá cã khá tốt\n- do không có VGA rời nên nhiệt cục bộ bên tay trái khá mát\n- kích thước chuẩn
Màn hình xoay gập.\n- Thiết kế tốt.\n- Tay cầm chắc.\n- Có vòng xoay chỉnh ISO - EV.\n- Vòng xoay trước dễ điều khiển.\n- Dải tiêu cự hợp lý.\n- Hệ thống ổn định hình ảnh tốt.\n- Hệ thống IS kết hợp hiệu chỉnh sai lệch cạnh và góc.\n- Chế độ chụp Macro tốt.\n- Hỗ trợ định dạng RAW, thời gian bù chụp ngắn.\n- Hoạt động tốt trong điều kiện thiếu sáng.\n- Hệ thống menu dễ sử dụng.\n- Có thể cài đặt My Menu dễ dàng.\n- Tùy chỉnh được trên vòng xoay chế độ.\n- Thể hiện màu chính xác.\n- Chụp JPEG liên tiếp nhanh hơn G11.\n- Quay video HD 720p âm thanh stereo.\n- Ít nhiễu hơn bình thường.\n- Sử dụng được nhiều phụ kiện.\n- Viewfinder quang học.\n- i-Contrast điều chỉnh vùng sáng/tối.\n- Nhiều kích thước AF.\n- Zoom AF điểm.\n- Dò AF.\n- Chế độ HDR.\n- Flash đánh khá xa.\n- Thời gian sạc flash tốt.\n- Chân hotshoe cắm flash ngoài.\n- Thời lượng pin lâu.\n- Chế độ dò tìm và hẹn giờ khuôn mặt.\n- Hỗ trợ thẻ SDXC.
- kiểu dáng đẹp và giá cả phải chăng hợp lý\n- nhỏ gọn hợp tui tiền\n- Màu sắc trẻ trung, năng động
Có nhiều chức năng, tiện dụng, mẫu mã đẹp, tôi rất thích và hy vọng sẽ có một chiếc điện thoại như vậy cho riêng mình.
Màn hình gương cả mặt trước và sau\nChíp Snapdragon 4 nhân\nRam 2gb\nChụp hình tới 13Megapixel\nThiết kế tổng thể sang trọng, đẹp mắt\nMáy mỏng\nMàn hình đẹp, màu sắc tươi tắn\nHệ thống chạy nhanh, mượt mà và ổn định\nNhiều ứng dụng tích hợp sẵn rất thú vị
Hoạt động khá trong các dòng SamSung cùng loại
Hệ thống chạy nhanh, mượt mà và ổn định\nNhiều ứng dụng tích hợp sẵn rất thú vị\nCấu hình cao thiết kế đẹpThiết kế tổng thể sang trọng, đẹp mắt\nMáy mỏng\nBản VN không thể tháo rời được.\nBản HQ hay bị lỗi rom\nChụp hình quay phim ở mức khá.\nMàn hình đẹp, màu sắc tươi tắn
xe đẹp máy êm đi rất bốc giá cả phải chăng
Đẹp quá\n,,,,,,,,,,,,,,,,,,,
nhẹ, chụp hình rõ nét\n,,,,,,,,,,,,,,,,,,
-Màn hình sáng đẹp hiển thị khá tốt ngoài trời\n-HĐH IOS của riêng Apple thiết kế cho Iphone cho nên máy chạy rất mượt\n-Camera chụp ảnh khá đẹp\n-Appstore phong phú - luôn là thế mạnh của Apple - muốn game gì cũng có, và store của apple update thường xuyên không như GooglePlay\n-Nhỏ gọn và sang trọng\n,,,,,,,,,,,,,,,,,,
- Màu sắc đen cũng đẹp\n- Ứng dụng tốt, ghe gọi tốt\n,,,,,,,,,,,,,,,,,,
tôi rất thích sản phẩm Honda SH 150i Việt Nam 2012 (Mới) Màu nâu đẳng cấp vượt trội máy khỏe chạy êm ít tốn xăng\n,,,,,,,,,,,,,,,,,,,
hiện đại, sang trọng, lịch lãm , đa phương tiện\n,,,,,,,,,,,,,,,,
càm pin lâu, sài gọn\n,,,,,,,,,,,,,,,,,,
tốc độ nhanh, phù hợp với nhiều đối tượng có các công việc khác nhau!\n,,,,,,,,,,,,,,,,,,
Hệ điều hành khỏe, nghe nhạc hay, máy chụp ảnh tốt - Giá rẻ, ...\n,,,,,,,,,,,,,,,,
sở hữu thiết kế mạnh mẽ và độc đáo , màn hình lớn , âm thanh nổi cực chuẩn. cảm ứng nhạy . nói chung là đáng mặt một smartphone tầm cao .\n,,,,,,,,,,,,,,,,,
Nhanh, mạnh, nhiều tính năng mới\n,,,,,,,,,,,,,,,,,
cpu i3 mạnh mẽ với thế hệ thứ 2\n,,,,,,,,,,,,,,,,,,,
Giá hợp lý.\n,,,,,,,,,,,,,,,,,,,
+Cầm chắc tay\n+Nghe nhạc 9/10\n+Tốc độ sử lý 8/10\n+Giao diện 9/10\n+Ứng dụng 7/10\n+Duyệt web 8/10\n,,,,,,,,,,,,,,,,,,,
Wifi mạnh, lướt web nhanh\n,,,,,,,,,,,,,,,,,,
Mạng\nHSPA+ 21Mbps/ HSUPA 5.76Mbps\nEDGE/ GPRS Class 12\nQuad band GSM 850/900/1800/1900\nQuad band UMTS 850/900/1900/2100\nVi xử lý\nBộ vi xử lý ứng dụng lõi kép\nKích thước\n125.3X66.1X8.49mm\nMàn hình\n4.3\ WVGA SUPER AMOLED Plus *\nBộ nhớ\nBộ nhớ trong 16GB/32GB\nHỗ trợ Micro SD lên đến 32GB\nMáy ảnh\n8 Mega Pixel,,,,,,,,,,,,,,,,,,,
