SSN,Dnum
"S0004","3"
"S0010","1"
"S0014","12"
"S0016","6"
"S0023","10"
"S0026","3"
"S0029","3"
"S0030","2"
"S0033","9"
"S0034","1"
"S0038","2"
"S0040","2"
"S0041","2"
"S0042","11"
"S0048","1"
"S0051","6"
"S0053","3"
"S0058","6"
"S0060","6"
"S0068","4"
"S0071","1"
"S0073","11"
"S0077","1"
"S0085","11"
"S0087","1"
"S0090","2"
"S0097","2"
"S0111","7"
"S0112","12"
"S0113","2"
"S0114","5"
"S0118","2"
"S0119","2"
"S0121","2"
"S0123","7"
"S0130","5"
"S0136","5"
"S0138","1"
"S0142","6"
"S0146","6"
"S0149","2"
"S0156","2"
"S0159","2"
"S0160","2"
"S0161","5"
"S0163","12"
"S0169","11"
"S0173","1"
"S0176","8"
"S0178","7"
"S0181","2"
"S0183","2"
"S0189","5"
"S0191","2"
"S0192","11"
"S0204","1"
"S0206","11"
"S0213","4"
"S0220","2"
"S0222","1"
"S0224","6"
"S0226","1"
"S0227","6"
"S0230","6"
"S0234","3"
"S0235","1"
"S0239","6"
"S0240","2"
"S0242","6"
"S0247","12"
"S0250","5"
"S0257","3"
"S0259","1"
"S0265","2"
"S0268","5"
"S0270","2"
"S0273","11"
"S0277","5"
"S0282","2"
"S0284","3"
"S0294","6"
"S0306","4"
"S0307","7"
"S0308","11"
"S0310","12"
"S0315","8"
"S0319","1"
"S0320","2"
"S0321","1"
"S0323","2"
"S0326","12"
"S0330","2"
"S0332","2"
"S0333","2"
"S0338","1"
"S0339","11"
"S0347","5"
"S0356","2"
"S0358","2"
"S0359","10"
"S0360","6"
"S0364","1"
"S0367","2"
"S0375","11"
"S0377","1"
"S0378","3"
"S0383","5"
"S0385","2"
"S0386","3"
"S0388","9"
"S0389","1"
"S0390","4"
"S0391","12"
"S0404","11"
"S0405","2"
"S0407","12"
"S0410","3"
"S0412","11"
"S0415","5"
"S0421","6"
"S0429","3"
"S0442","11"
"S0447","2"
"S0449","2"
"S0450","2"
"S0455","12"
"S0465","2"
"S0469","6"
"S0473","12"
"S0474","11"
"S0475","1"
"S0477","2"
"S0479","1"
"S0486","1"
"S0490","12"
"S0495","2"
"S0504","12"
"S0506","11"
"S0509","12"
"S0511","3"
"S0517","7"
"S0522","11"
"S0527","6"
"S0530","12"
"S0535","12"
"S0536","5"
"S0537","1"
"S0543","12"
"S0544","11"
"S0548","1"
"S0553","11"
"S0562","12"
"S0564","2"
"S0566","1"
"S0568","11"
"S0569","6"
"S0574","9"
"S0575","7"
"S0576","12"
"S0577","2"
"S0581","1"
"S0590","3"
"S0592","2"
"S0597","1"
"S0599","11"
"S0600","11"
"S0603","4"
"S0605","12"
"S0610","1"
"S0614","2"
"S0616","3"
"S0618","11"
"S0619","9"
"S0624","11"
"S0627","4"
"S0630","3"
"S0631","3"
"S0635","3"
"S0636","8"
"S0639","8"
"S0640","4"
"S0641","1"
"S0642","2"
"S0644","2"
"S0650","3"
"S0654","3"
"S0659","11"
"S0665","11"
"S0666","5"
"S0668","2"
"S0669","3"
"S0675","6"
"S0677","3"
"S0679","11"
"S0680","12"
"S0685","11"
"S0686","11"
"S0687","10"
"S0688","1"
"S0689","12"
"S0690","1"
"S0696","3"
"S0697","2"
"S0701","2"
"S0705","1"
"S0707","2"
"S0709","2"
"S0711","11"
"S0713","3"
"S0716","2"
"S0717","1"
"S0724","1"
"S0725","1"
"S0726","11"
"S0727","2"
"S0731","4"
"S0732","7"
"S0738","2"
"S0743","4"
"S0744","2"
"S0745","6"
"S0748","12"
"S0750","12"
"S0753","1"
"S0755","3"
"S0756","12"
"S0760","3"
"S0762","11"
"S0764","1"
"S0769","7"
"S0772","2"
"S0773","9"
"S0775","3"
"S0776","1"
"S0782","11"
"S0785","11"
"S0786","3"
"S0789","10"
"S0791","1"
"S0792","7"
"S0797","2"
"S0798","3"
"S0803","2"
"S0809","1"
"S0811","3"
"S0816","5"
"S0819","11"
"S0824","2"
"S0825","6"
"S0826","1"
"S0828","1"
"S0830","2"
"S0836","2"
"S0840","2"
"S0845","12"
"S0848","12"
"S0850","12"
"S0851","6"
"S0853","2"
"S0854","2"
"S0857","2"
"S0860","11"
"S0865","11"
"S0876","5"
"S0880","1"
"S0892","6"
"S0895","6"
"S0896","8"
"S0898","9"
"S0900","11"
"S0904","5"
"S0910","8"
"S0912","7"
"S0915","6"
"S0918","6"
"S0920","2"
"S0933","3"
"S0939","6"
"S0940","2"
"S0945","8"
"S0946","6"
"S0950","6"
"S0954","1"
"S0960","11"
"S0963","4"
"S0964","6"
"S0969","11"
"S0974","12"
"S0980","2"
"S0981","3"
"S0989","8"
"S0995","11"
